427161.8055822397, 3382053.1161820902
427161.85298071627, 3382053.1528050094
427162.42738858215, 3382052.9806589736
427163.4270739885, 3382052.6595379864
427164.5139498507, 3382052.326561768
427165.71995984577, 3382052.0256612715
427167.0054943846, 3382051.6664097365
427168.3082556219, 3382051.3018702646
427169.64270495693, 3382050.895926429
427171.0461500614, 3382050.505772316
427172.45911693503, 3382050.0817518076
427173.8765259445, 3382049.6290711
427175.30696584773, 3382049.1888631904
427176.72235911485, 3382048.7690752787
427178.10739626753, 3382048.3511545993
427179.50955588394, 3382047.9599019936
427180.8513232727, 3382047.5487382845
427182.2121220358, 3382047.1154656736
427183.5291565055, 3382046.6867366177
427184.81759966235, 3382046.2371432143
427186.07560932706, 3382045.8490796476
427187.4103577813, 3382045.534753432
427188.78147771145, 3382045.138724022
427190.21704946854, 3382044.7008847934
427191.6761099213, 3382044.2619638876
427193.1044826392, 3382043.7994220937
427194.4765014503, 3382043.3706932496
427195.8854694132, 3382042.945963957
427197.3081710411, 3382042.543123085
427198.722020459, 3382042.107463234
427200.12492769596, 3382041.6846224717
427201.5286889478, 3382041.26990349
427202.78458763706, 3382040.853040979
427203.4959409967, 3382040.7468402567
427150.1988543384, 3382041.1563621243
427149.90454844234, 3382041.315167726
427148.71649948, 3382041.624999755
427147.1479348196, 3382042.0849833507
427145.49616596935, 3382042.5316748656
427143.8238462375, 3382043.0121229156
427142.1636860797, 3382043.494336345
427140.4827424913, 3382043.9521234403
427138.83204775763, 3382044.415802299
427137.2098694147, 3382044.8417924345
427135.61087257473, 3382045.268550022
427134.0073047215, 3382045.6811158154
427132.37687083415, 3382046.0916465167
427130.7586470364, 3382046.4640443255
427129.2637280878, 3382046.870706008
427128.28928198805, 3382047.3791431333
427127.95112799446, 3382048.0039054262
427127.8403347852, 3382048.568580164
427127.7078455305, 3382049.2578975046
427127.7133726266, 3382050.243116882
427128.0963305303, 3382051.260700917
427128.7198694531, 3382051.1451131194
427130.07284439617, 3382050.784478676
427131.58478848165, 3382050.366434787
427133.1258485254, 3382049.975901601
427134.68912608817, 3382049.585403492
427136.24458212545, 3382049.1964360685
427137.8202222558, 3382048.766695981
427139.411785693, 3382048.3990968512
427140.98947106005, 3382047.9881841145
427142.55641477235, 3382047.548713614
427144.0909818191, 3382047.0485065645
427145.65245510126, 3382046.627359954
427147.2119237553, 3382046.169654012
427148.7328398184, 3382045.7308642506
427150.1701905491, 3382045.296332485
427151.2348705856, 3382045.037574345
427151.57647779153, 3382044.900984731
427152.42527390545, 3382048.2767931223
427152.3208547897, 3382048.2699240455
427151.4391559319, 3382048.547766538
427150.0675540644, 3382048.966893049
427148.6370527939, 3382049.3978691143
427147.1580829426, 3382049.8705478446
427145.612226028, 3382050.355684179
427144.0097600555, 3382050.836769419
427142.3662266289, 3382051.3430680623
427140.7045015517, 3382051.85373804
427139.03518745, 3382052.3530072863
427137.46416032116, 3382052.9452631264
427136.4971071366, 3382054.2179901144
427135.79117967753, 3382055.602369416
427132.8554735671, 3382054.6777357273
427132.89589166833, 3382054.579934884
427132.75448479055, 3382054.1604829724
427132.33015409345, 3382053.0753883515
427131.9752965723, 3382051.8873096746
427131.7344691589, 3382050.9461613516
427114.99678080395, 3382069.4243040644
427114.9901746015, 3382069.2980052545
427114.6002480321, 3382068.50323199
427114.16939016624, 3382067.3511314103
427113.69823275995, 3382066.030106059
427113.2371272969, 3382064.682783723
427112.84799027856, 3382063.3654534016
427112.467930053, 3382062.019431408
427112.06367769797, 3382060.712362288
427111.7010043164, 3382059.4085221835
427111.3224813578, 3382058.1245532734
427110.9098674971, 3382056.833795318
427110.43181982846, 3382055.557701743
427110.0254923642, 3382054.2984872498
427109.7425536938, 3382053.228140009
427109.53664213046, 3382052.653226226
427109.5524622988, 3382052.392120659
427106.15531927254, 3382070.9167751786
427106.1859321117, 3382070.858199447
427106.1834110026, 3382070.8635731237
427106.07262326183, 3382070.907728135
427106.10301460617, 3382070.8873893945
427106.0571038547, 3382070.597515772
427105.89246756065, 3382069.8623624663
427105.55714907974, 3382068.7751904903
427105.1373266465, 3382067.363679363
427104.7117664279, 3382065.8598506944
427104.23832864274, 3382064.36687373
427103.76997840335, 3382062.8225123663
427103.2453279757, 3382061.319906545
427102.7168976172, 3382059.8256383194
427102.2654729686, 3382058.349875874
427101.8203943549, 3382056.9381658784
427101.46377669566, 3382055.750284705
427101.2941867298, 3382055.2996222237
427101.2040842214, 3382055.2352114273
427202.4991010379, 3382036.936473842
427202.4512280581, 3382037.0191782177
427201.42988483346, 3382037.328804579
427199.89511627145, 3382037.8471065587
427198.2271948698, 3382038.3402616265
427196.5666257347, 3382038.833367406
427194.88469148765, 3382039.358018558
427193.20067313995, 3382039.834289348
427191.53852559003, 3382040.3540051524
427189.8628866064, 3382040.864022386
427188.12919061567, 3382041.344877188
427186.3580556181, 3382041.915016046
427184.6042903041, 3382042.453636997
427182.8847259991, 3382042.9916582797
427181.1080246002, 3382043.518428096
427179.31839048513, 3382044.070960426
427177.0886294011, 3382044.774784121
427174.30490870087, 3382045.6254948913
427171.23785833025, 3382046.55606517
427167.95492570987, 3382047.5185693563
427164.7524812417, 3382048.4707421255
427162.30637300265, 3382049.3032945124
427161.0019578568, 3382049.35143331
427160.39911592926, 3382047.93782944
427160.0529045982, 3382046.4670814737
427161.23466945876, 3382045.6993907215
427163.9125585736, 3382044.8695237665
427167.3649295645, 3382043.861360301
427171.21917404496, 3382042.717680379
427175.1498038158, 3382041.500340766
427179.39198626665, 3382040.240265726
427161.9474941499, 3382053.1602951037
